title;link;downloaded;notesTaken
"Comment avoir du pain et levain à volonté / How to have bread and yeast at will";"https://www.youtube.com/watch?v=10mnjQsYwr0";false;false
"Biscuits 3D à volonté";"https://www.youtube.com/watch?v=Rru52nnqAxM";false;false
"10 recettes pour manger le maïs de son jardin / 10 ways to cook your corn";"https://www.youtube.com/watch?v=24WrDyfFsY8";false;false
"100% Autonome un rêve à portée de main.";"https://www.youtube.com/watch?v=zLWCootfQ64";false;false
"Fibre local pour attacher ses tomates...  et plus si affinités";"https://www.youtube.com/watch?v=lYogFp5CmSs";false;false
"Charger son téléphone avec un panneau solaire / how to charge your phone with a solar panel";"https://www.youtube.com/watch?v=iheZQVeH6lA";false;false
"Comment stocker de l'électricité dans le lithium de nos poubelles";"https://www.youtube.com/watch?v=_hwj7Ds50lU";false;false
"Comment faire un bureau dans sa voiture.";"https://www.youtube.com/watch?v=piT0C0HOt9s";false;false
"Rêvons ensemble des voitures du futur";"https://www.youtube.com/watch?v=McFqG0Hkm0E";false;false
"Comment transformer mon motoculteur en "voiture"";"https://www.youtube.com/watch?v=3ween8uUBAg";false;false
"Casse noisette pro à imprimer chez soi.";"https://www.youtube.com/watch?v=CLUU20uA4Xc";false;false
"Comment moudre des céréales avec le soleil, sans batterie, sans réseau.";"https://www.youtube.com/watch?v=3R9xI8YFy3w";false;false
"Cuisiner sans gaz / cooking without gas";"https://www.youtube.com/watch?v=l0fIm8gMbTg&t=365s";false;false
"Pourquoi Barnabé Chaillot ne fait plus de vidéo ?";"https://www.youtube.com/watch?v=shDxHwS4H5s&t=270s";false;false
