title;link;downloaded;notesTaken
"Le chiendent";"https://www.youtube.com/watch?v=M0poZFQmnYQ";false;false
"Le pissenlit";"https://www.youtube.com/watch?v=scyuaWxMCXQ";false;false
"Le Coquelicot";"https://www.youtube.com/watch?v=AfmHxoqE3_g";false;false
"Noix de cola";"https://www.youtube.com/watch?v=QJf2jb04XQ4";false;false
"La mauve";"https://www.youtube.com/watch?v=M-SlmiWS7sA";false;false
"Les Mucilages";"https://www.youtube.com/watch?v=E7W2s6JpEQI";false;false
"La sauge";"https://www.youtube.com/watch?v=k4SG-HQo47U";false;false
"Escholtzia";"https://www.youtube.com/watch?v=4R-5h5ZnFc0";false;false
"L'ail";"https://www.youtube.com/watch?v=P6Y6XTICp6o";false;false
"Bruyère";"https://www.youtube.com/watch?v=J0PcWZGEcpQ";false;false
"Gingembre";"https://www.youtube.com/watch?v=L4P28NLFJnM";false;false
"Les tanins - Partie 1 - AltheaProvence";"https://www.youtube.com/watch?v=hBykc7pbbZQ";false;false
"Les tanins - Partie 2 - AltheaProvence";"https://www.youtube.com/watch?v=I1UaNbqJD6k";false;false
"Le livre des bonnes herbes";"https://www.youtube.com/watch?v=tyGdYLengJs";false;false
"Menthe poivrée";"https://www.youtube.com/watch?v=90nTFuoE7ms";false;false
"bistorte";"https://www.youtube.com/watch?v=_b_97bizhQI";false;false
"pâquerette";"https://www.youtube.com/watch?v=NObI-IZ7IDQ";false;false
"Pensée sauvage";"https://www.youtube.com/watch?v=mVNtJIchONE";false;false
"Sauge blanche";"https://www.youtube.com/watch?v=YOz-kh8roWc";false;false
"Chardon-marie";"https://www.youtube.com/watch?v=G-oAkliTunY";false;false
"Passiflore";"https://www.youtube.com/watch?v=Q3qMOin1w2Y";false;false
"Tribule terrestre";"https://www.youtube.com/watch?v=a6Tyfd3NVLo";false;false
"La pariétaire";"https://www.youtube.com/watch?v=SpM3c1HryNw";false;false
"Ache des marais";"https://www.youtube.com/watch?v=sviNub6d2yk";false;false
"Les acouphènes";"https://www.youtube.com/watch?v=GIhuJUpmKfE";false;false
"La mélisse";"https://www.youtube.com/watch?v=LTw2V2Zv_E0";false;false
"La consoude";"https://www.youtube.com/watch?v=JYow8sXGzP0";false;false
"La feuille de noisetier pour la mauvaise circulation";"https://www.youtube.com/watch?v=1yg-UCbCk9U";false;false
"Lierre terrestre: bronchite, sinusite, otite";"https://www.youtube.com/watch?v=i-9Op5KvTiQ";false;false
"Pourquoi s'intéresser aux plantes médicinales ?";"https://www.youtube.com/watch?v=DLHsT2Vz2JA";false;false
"La bardane : détox, eczéma, psoriasis, rhumatismes et plus !";"https://www.youtube.com/watch?v=6QnBiocRG3c";false;false
"Bacopa : mémoire, capacités cognitives, alzheimer";"https://www.youtube.com/watch?v=X6uKQvjIgnY";false;false
"Curcuma : anti-inflammatoire naturel, arthrose, arthrite, anti-cancer";"https://www.youtube.com/watch?v=lYbLzEwR48s";false;false
"Epilobe : problèmes de prostate, cystites et diarrhées";"https://www.youtube.com/watch?v=-2rUKKvhUY8";false;false
"livre : "La sante à la pharmacie du bon dieu"";"https://www.youtube.com/watch?v=hFGz_SQpXb4";false;false
"Verge d’or : cystites, infections urinaires, sinusites allergiques";"https://www.youtube.com/watch?v=CuHP7vi9cpw";false;false
"Moringa : prévention des maladies chroniques dégénératives";"https://www.youtube.com/watch?v=ivk5Y05e2H8";false;false
"Les bienfaits de l’ortie : détox, inflammations chroniques, allergies";"https://www.youtube.com/watch?v=O9wDllXVwQs&t=5s";false;false
"Syndrome des jambes sans repos et plantes";"https://www.youtube.com/watch?v=l1He_oRXbUs";false;false
"Pourpier sauvage : super aliment et propriétés médicinales";"https://www.youtube.com/watch?v=XZebaunNrvA";false;false
"Dégénérescence maculaire liée à l’âge (DMLA) et plantes";"https://www.youtube.com/watch?v=AvsGQIdaOys";false;false
"Fenugrec : inflammations digestives et problèmes métaboliques (glycémie, lipidémie)";"https://www.youtube.com/watch?v=8ydvvdgJgn8";false;false
"Mauvaise haleine, halitose : quelles plantes utiliser ?";"https://www.youtube.com/watch?v=hIM3sr_pL8Y";false;false
"Bouton de fièvre (herpès labial) : quelles plantes utiliser ?";"https://www.youtube.com/watch?v=wm37p8qhe-A";false;false
"Armoise annuelle (Artemisia annua) : malaria et cancer";"https://www.youtube.com/watch?v=YFiPRfD60QA";false;false
"Les plantes à alcaloïdes : faut-il en avoir peur?";"https://www.youtube.com/watch?v=p2R2I0nPt7I";false;false
"Camomille romaine ou camomille noble : problèmes digestifs, calmant nerveux, douleurs des règles";"https://www.youtube.com/watch?v=gq_RK-5oK5M";false;false
"Fleurs de tilleul : stress, fièvre et problèmes cardiovasculaires";"https://www.youtube.com/watch?v=StKKOaFEvws";false;false
"Ostéoporose et risques de fractures : stratégies naturelles et plantes";"https://www.youtube.com/watch?v=GtUkazkQc0g";false;false
"Les prébiotiques : dans quelles plantes en trouver, comment les utiliser ?";"https://www.youtube.com/watch?v=1pI6a1MjLNE";false;false
"Vergerette du Canada : inflammations intestinales, élimination acide urique";"https://www.youtube.com/watch?v=OZKVzX8aEdA";false;false
"Bourgeons de pin : problèmes respiratoires, infections urinaires, douleurs articulaires";"https://www.youtube.com/watch?v=uDN4MxrNSag";false;false
"Le bleuet (Centaurea cyanus) : fatigue des yeux, conjonctivite";"https://www.youtube.com/watch?v=1pWa38i71Qs";false;false
"Le thym : bronchites, infections urinaires, candidoses intestinales";"https://www.youtube.com/watch?v=1Q_xVx4b0wg";false;false
"Histoire des plantes épisode 1 : Hippocrate, Dioscoride, Gallien (période grecque et romaine)";"https://www.youtube.com/watch?v=KsmMhwRG_NM";false;false
"La cardamome : digestions difficiles, nausées, mauvaise haleine";"https://www.youtube.com/watch?v=RSuZdVtnVzg";false;false
"Le lapacho : propriétés anti-cancer et anti-candida albicans";"https://www.youtube.com/watch?v=dhX6gTAOoFo";false;false
"Histoire des plantes épisode 2 : à l’époque des Celtes et des Gaulois";"https://www.youtube.com/watch?v=sdo5HwZfJW8";false;false
"Huile de ricin : constipation, cataplasmes, santé des cheveux et des ongles";"https://www.youtube.com/watch?v=CysZe94dLB4";false;false
"Le marrube (Marrubium vulgare) : dépuratif, indigestions, bronchites, palpitations";"https://www.youtube.com/watch?v=u__R55jFXAI";false;false
"Le calament (Clinopodium nepeta) : indigestions, rhumes et froids, stimulant intellectuel";"https://www.youtube.com/watch?v=bNmMI4768dM";false;false
"Le chêne (Quercus spp.), feuilles et écorce : fortes diarrhées, angines, problèmes de gencives.";"https://www.youtube.com/watch?v=0FEcUE_onas";false;false
"L’armoise commune (Artemisia vulgaris) : règles et digestion difficiles, crises d’épilepsie";"https://www.youtube.com/watch?v=xgL7MgqKQiE";false;false
"Le bouleau (Betula pendula), feuilles, écorce, sève : douleurs articulaires, problèmes de peau...";"https://www.youtube.com/watch?v=FQQRREvbnFg";false;false
"Histoire des plantes épisode 3 : monastères et influence Arabe";"https://www.youtube.com/watch?v=pbf1UErTCng";false;false
"Livre : Guide Pratique de Phyto-Aromathérapie pour animaux";"https://www.youtube.com/watch?v=K0DeZobT21c";false;false
"Le fenouil (Foeniculum vulgare) : nutrition, digestion, allaitement";"https://www.youtube.com/watch?v=AtSNk2Xe8QA";false;false
"Histoire des plantes épisode 4 : peste et syphilis";"https://www.youtube.com/watch?v=dKpwR5zRs1s";false;false
"L’hysope (Hyssopus officinalis) : bronchites, fièvres, ecchymoses";"https://www.youtube.com/watch?v=yqjNG5wDN4E";false;false
"Comment se débarasser de l’acné naturellement ?";"https://www.youtube.com/watch?v=WAQS235Dxmg";false;false
"Genévrier et genièvre (Juniperus communis) : digestion, cystites, bronchites";"https://www.youtube.com/watch?v=fShU_iXDv4s";false;false
